lane,length
:gneJ124_2_2,10.82
:gneJ124_2_3,10.82
:gneJ131_0_0,7.63
:gneJ131_0_1,7.63
:gneJ131_2_0,7.59
:gneJ133_0_0,4.0
:gneJ133_0_1,4.0
:gneJ137_0_0,4.03
:gneJ137_0_1,4.03
:gneJ13_0_0,17.25
:gneJ13_0_1,17.25
:gneJ13_0_2,17.25
:gneJ13_0_3,17.25
:gneJ13_4_0,16.59
:gneJ13_4_1,14.09
:gneJ151_0_0,7.96
:gneJ151_1_0,40.86
:gneJ151_1_1,40.86
:gneJ151_3_0,40.82
:gneJ163_0_0,7.31
:gneJ163_1_0,7.21
:gneJ163_1_1,7.21
:gneJ163_1_2,7.21
:gneJ165_0_0,8.22
:gneJ165_1_0,9.04
:gneJ165_1_1,9.04
:gneJ167_0_0,4.04
:gneJ167_1_0,5.18
:gneJ168_0_0,4.86
:gneJ168_1_0,3.87
:gneJ178_0_0,6.55
:gneJ178_1_0,6.5
:gneJ179_0_0,16.26
:gneJ179_1_0,16.31
:gneJ179_1_1,16.31
:gneJ180_0_0,1.77
:gneJ180_0_1,1.77
:gneJ181_0_0,8.94
:gneJ181_1_0,8.88
:gneJ181_1_1,8.88
:gneJ181_1_2,8.88
:gneJ182_0_0,9.06
:gneJ182_1_0,9.22
:gneJ182_1_1,9.22
:gneJ1_0_0,42.65
:gneJ1_0_1,42.65
:gneJ1_0_2,42.65
:gneJ1_0_3,42.65
:gneJ1_4_0,41.51
:gneJ1_4_1,41.51
:gneJ1_4_2,41.51
:gneJ228_0_0,10.04
:gneJ228_1_0,10.73
:gneJ228_1_1,10.73
:gneJ228_1_2,10.73
:gneJ229_0_0,8.05
:gneJ229_1_0,9.41
:gneJ229_1_1,9.41
:gneJ232_0_0,3.78
:gneJ232_0_1,3.78
:gneJ76_0_0,6.26
:gneJ76_0_1,8.35
:gneJ76_2_0,9.31
:gneJ76_2_1,9.31
:gneJ76_2_2,9.31
:gneJ88_0_0,8.19
:gneJ88_0_1,8.19
:gneJ88_0_2,8.19
:gneJ91_0_0,10.67
:gneJ91_0_1,10.67
:gneJ91_2_0,10.66
:gneJ91_2_1,10.66
:gneJ96_0_0,10.67
:gneJ96_0_1,11.44
:gneJ96_2_0,11.55
:gneJ96_2_1,11.55
:tl_10_0_0,17.79
:tl_10_0_1,17.79
:tl_10_2_0,28.48
:tl_10_3_0,28.88
:tl_10_3_1,28.88
:tl_11_0_0,34.34
:tl_11_1_0,8.54
:tl_11_2_0,12.04
:tl_11_2_1,12.04
:tl_11_2_2,12.04
:tl_11_2_3,12.04
:tl_11_6_0,12.18
:tl_11_6_1,12.18
:tl_11_6_2,12.18
:tl_11_6_3,12.18
:tl_12_0_0,52.25
:tl_12_0_1,52.89
:tl_12_11_0,21.95
:tl_12_2_0,15.62
:tl_12_2_1,15.62
:tl_12_4_0,38.95
:tl_12_5_0,34.75
:tl_12_6_0,40.99
:tl_12_7_0,34.89
:tl_12_8_0,20.63
:tl_12_9_0,45.55
:tl_12_9_1,42.01
:tl_13_0_0,15.95
:tl_13_0_1,15.95
:tl_13_2_0,16.01
:tl_13_2_1,16.01
:tl_13_4_0,30.51
:tl_13_5_0,24.66
:tl_13_6_0,32.45
:tl_13_7_0,20.33
:tl_14_0_0,55.25
:tl_14_0_1,55.25
:tl_14_0_2,55.25
:tl_14_0_3,55.25
:tl_14_0_4,55.25
:tl_14_0_5,55.25
:tl_14_10_0,55.31
:tl_14_10_1,55.31
:tl_14_10_2,55.31
:tl_14_10_3,55.31
:tl_14_10_4,55.31
:tl_14_10_5,55.31
:tl_14_16_0,6.36
:tl_14_6_0,45.5
:tl_14_7_0,65.17
:tl_14_8_0,4.14
:tl_14_9_0,35.25
:tl_15_0_0,33.88
:tl_15_1_0,13.93
:tl_15_2_0,17.82
:tl_15_2_1,17.82
:tl_15_2_2,17.82
:tl_15_2_3,17.82
:tl_15_2_4,17.82
:tl_15_2_5,17.82
:tl_15_8_0,16.4
:tl_15_8_1,16.4
:tl_15_8_2,16.4
:tl_15_8_3,16.4
:tl_15_8_4,16.4
:tl_15_8_5,16.4
:tl_16_0_0,54.0
:tl_16_0_1,57.0
:tl_16_2_0,38.38
:tl_16_2_1,38.38
:tl_16_4_0,61.19
:tl_16_4_1,61.19
:tl_16_4_2,61.19
:tl_16_4_3,61.19
:tl_16_8_0,26.85
:tl_17_0_0,32.3
:tl_17_10_0,9.17
:tl_17_1_0,36.57
:tl_17_1_1,36.57
:tl_17_3_0,32.47
:tl_17_4_0,29.84
:tl_17_4_1,29.84
:tl_17_6_0,18.47
:tl_17_7_0,30.15
:tl_17_8_0,28.61
:tl_17_8_1,28.61
:tl_18_0_0,14.27
:tl_18_0_1,14.27
